motion_id,topic,source,confidence,classified_at
usutabs2022.calicotab.com:abpdc2022:15703,International Relations,keyword,1.0,2026-09-26T13:52:04.780788+00:00
abpdc2023.calicotab.com:abpdc2023:33614,Military & Security,keyword,1.0,2026-09-26T13:52:04.780788+00:00
abpdc2023.calicotab.com:abpdc2023:33615,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
abpdc2023.calicotab.com:abpdc2023:33616,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
abpdc2023.calicotab.com:abpdc2023:33617,Education,model,0.625,2026-09-26T13:52:04.780788+00:00
abpdc2023.calicotab.com:abpdc2023:33618,,,,2026-09-26T13:52:04.780788+00:00
abpdc2023.calicotab.com:abpdc2023:33619,,,,2026-09-26T13:52:04.780788+00:00
abpdc2024.calicotab.com:abpdc2024:45842,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
abpdc2024.calicotab.com:abpdc2024:45844,,,,2026-09-26T13:52:04.780788+00:00
abpdc2024.calicotab.com:abpdc2024:45845,,,,2026-09-26T13:52:04.780788+00:00
abpdc2024.calicotab.com:abpdc2024:45846,Religion,keyword,1.0,2026-09-26T13:52:04.780788+00:00
abpdc2024.calicotab.com:abpdc2024:45847,,,,2026-09-26T13:52:04.780788+00:00
abpdc2024.calicotab.com:abpdc2024:45848,,,,2026-09-26T13:52:04.780788+00:00
abpdc25.calicotab.com:abpdc2025:64693,,,,2026-09-26T13:52:04.780788+00:00
abpdc25.calicotab.com:abpdc2025:64720,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
abpdc25.calicotab.com:abpdc2025:64751,,,,2026-09-26T13:52:04.780788+00:00
abpdc25.calicotab.com:abpdc2025:64829,,,,2026-09-26T13:52:04.780788+00:00
abpdc25.calicotab.com:abpdc2025:64843,Health,keyword,1.0,2026-09-26T13:52:04.780788+00:00
abpdc25.calicotab.com:abpdc2025:64853,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
bacdebateclub2023.calicotab.com:bacdo23:32063,Media & Culture,model,0.388,2026-09-26T13:52:04.780788+00:00
bacdebateclub2023.calicotab.com:bacdo23:32064,Religion,keyword,1.0,2026-09-26T13:52:04.780788+00:00
bacdebateclub2023.calicotab.com:bacdo23:32065,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
bacdebateclub2023.calicotab.com:bacdo23:32066,Environment,keyword,1.0,2026-09-26T13:52:04.780788+00:00
bacdebateclub2023.calicotab.com:bacdo23:32067,,,,2026-09-26T13:52:04.780788+00:00
bdidf-pacific.calicotab.com:regional:1562,,,,2026-09-26T13:52:04.780788+00:00
bdidf-pacific.calicotab.com:regional:1563,,,,2026-09-26T13:52:04.780788+00:00
bdidf-pacific.calicotab.com:regional:1564,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
bdidf-west.calicotab.com:west:1570,,,,2026-09-26T13:52:04.780788+00:00
bdidf-west.calicotab.com:west:1571,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
bdidf-west.calicotab.com:west:1572,,,,2026-09-26T13:52:04.780788+00:00
bitspilani.calicotab.com:bppd2021:11045,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
bitspilani.calicotab.com:bppd2021:11046,Religion,keyword,1.0,2026-09-26T13:52:04.780788+00:00
bitspilani.calicotab.com:bppd2021:11047,,,,2026-09-26T13:52:04.780788+00:00
bitspilani.calicotab.com:bppd2021:11048,,,,2026-09-26T13:52:04.780788+00:00
bitspilanipd.calicotab.com:bppd2023:16494,,,,2026-09-26T13:52:04.780788+00:00
bitspilanipd.calicotab.com:bppd2023:16495,,,,2026-09-26T13:52:04.780788+00:00
bitspilanipd.calicotab.com:bppd2023:16496,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
